"","state_abbr","favor_dem","month","newcases_per100k_avg"
"737","TX",0,10,602.423380340387
"738","TX",0,11,1106.33283411904
"739","TX",1,3,5.43365082236662
"740","TX",1,4,45.5001861328023
"741","TX",1,5,63.1169835584391
"742","TX",1,6,316.816480754114
"743","TX",1,7,1349.88557487588
"744","TX",1,8,947.062398006747
"745","TX",1,9,770.229657057534
"746","TX",1,10,716.460745782974
"747","TX",1,11,1198.49866464822
"748","UT",0,3,10.4135783306836
"749","UT",0,4,28.6668669195498
"750","UT",0,5,86.0491437414726
"751","UT",0,6,64.296920638182
"752","UT",0,7,117.997391112164
"753","UT",0,8,63.435087942878
"754","UT",0,9,99.146083776429
"755","UT",0,10,212.420238107683
"756","UT",0,11,417.857929062038
"757","UT",1,3,221.119958456567
"758","UT",1,4,321.701025294371
"759","UT",1,5,175.390050716095
"760","UT",1,6,341.854435059843
"761","UT",1,7,575.18608248976
"762","UT",1,8,403.145664376087
"763","UT",1,9,539.948261048579
"764","UT",1,10,1310.31533671067
"765","UT",1,11,2244.70586834257
"766","VT",1,3,32.6775309318062
"767","VT",1,4,71.0778314822606
"768","VT",1,5,19.5069818103138
"769","VT",1,6,22.5401922530793
"770","VT",1,7,26.1888543174135
"771","VT",1,8,26.2374551602754
"772","VT",1,9,21.9336158620857
"773","VT",1,10,57.4042926114223
"774","VT",1,11,318.442659857937
"775","VT",0,3,0
"776","VT",0,4,32.4517280545189
"777","VT",0,5,16.2258640272595
"778","VT",0,6,0
"779","VT",0,7,16.2258640272595
"780","VT",0,8,32.4517280545189
"781","VT",0,9,0
"782","VT",0,10,16.2258640272595
"783","VT",0,11,551.679376926821
"784","VA",0,3,7.99824961069728
"785","VA",0,4,113.429507704672
"786","VA",0,5,206.80655093843
"787","VA",0,6,148.798521425334
"788","VA",0,7,227.8424064195
"789","VA",0,8,321.009557084477
"790","VA",0,9,319.912781235795
"791","VA",0,10,434.417957476675
"792","VA",0,11,751.192140466463
